asin,title,category,us_price,us_sold,us_rating,us_reviews,listed_since,de_listed,de_price_eur,de_sold,de_offers,de_max_cogs_25,ae_price_usd,ae_max_cogs_25,target_cogs,est_net_unit,est_monthly_net,verdict,rationale,alibaba_url,url
B0GWFN7Y8T,"Pocket Hose Ballistic 50 FT Expandable Garden Hose w/Pocket Pivot Swivel Connector, Anti-Burst Sleeve Reinforced with Bulletproof Fiber, Lightweight, No-Kink, Compact, UV-Protected, AS SEEN ON TV","Patio, Lawn & Garden > Gardening & Lawn Care",59.99,40000,4.2,15862,2026-04-07,нет,,,,,56.99,16.4,16.4,12.82,51280.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈40000/мес; + вход при закупке ≤$9.23 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=ballistic%20expandable%20garden%20hose%20pocket,https://www.amazon.com/dp/B0GWFN7Y8T
B0GQHGFFHC,"Handheld Steam Cleaner, 230°F Pressurized Steamer with No Water Spitting & Continuous Steam, 350ML Chemical-Free Deep Cleaning for Grease & Grime, 12 Accessories for Grout, Bathroom, Kitchen & Car",Home & Kitchen > Vacuums & Floor Care,69.99,6000,4.4,573,2026-02-27,да,101.31,,1,33.84,66.49,19.97,19.97,14.96,8976.0,BUY,"DE: есть листинг, ≈? шт/мес, 1 офферов; + продажи ≈6000/мес; + вход при закупке ≤$11.80 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (3 офферов); − волатильность цены 1.026",https://www.alibaba.com/trade/search?SearchText=handheld%20steam%20cleaner%20pressurized%20steamer,https://www.amazon.com/dp/B0GQHGFFHC
B0H2ZJFN9G,POCALAND Bidet Attachment,Tools & Home Improvement > Kitchen & Bath Fixtures,39.99,10000,4.6,62,2026-05-26,нет,,,,,37.99,10.49,10.49,8.55,8550.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈10000/мес; + вход при закупке ≤$7.27 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (6 офферов); − волатильность цены 1.375",https://www.alibaba.com/trade/search?SearchText=bidet%20attachment,https://www.amazon.com/dp/B0H2ZJFN9G
B0GWFRGX48,"Pocket Hose Ballistic 25 FT Expandable Garden Hose w/Pocket Pivot Swivel Connector, Anti-Burst Sleeve Reinforced with Bulletproof Fiber, Lightweight, No-Kink, Compact, UV-Protected, AS SEEN ON TV","Patio, Lawn & Garden > Gardening & Lawn Care",39.99,10000,4.2,15791,2026-04-07,нет,,,,,37.99,9.37,9.37,8.55,8550.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈10000/мес; + вход при закупке ≤$4.49 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=ballistic%20expandable%20garden%20hose%20pocket,https://www.amazon.com/dp/B0GWFRGX48
B0H3T9MSFL,"Uwant Upholstery Cleaner Machine with 18Kpa Suction Portable Carpet Cleaner Machine for Cars, Pets with Pet Pro Solution and Self Cleaning Tools Set of 1 for Spot, Rug, Couch",Home & Kitchen > Vacuums & Floor Care,69.97,5000,4.6,156,2026-06-03,нет,,,,,66.47,16.73,16.73,14.96,7480.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈5000/мес; + вход при закупке ≤$7.18 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − тяжёлый товар 4.6 кг",https://www.alibaba.com/trade/search?SearchText=upholstery%20cleaner%20machine%20kpa%20suction,https://www.amazon.com/dp/B0H3T9MSFL
B0GJS94H49,"250 Anniversary Usa Flag, Commemorative House Flags, Two-sided Design 3x5 Ft, Patriotic Flags 5","Patio, Lawn & Garden > Outdoor Décor",39.99,8000,4.6,352,2026-02-28,нет,,,,,37.99,11.05,11.05,8.55,6840.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈8000/мес; + вход при закупке ≤$6.75 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (2 офферов)",https://www.alibaba.com/trade/search?SearchText=anniversary%20usa%20flag%20commemorative%20house,https://www.amazon.com/dp/B0GJS94H49
B0G6KMRNJ5,"20V Electric Weed Wacker Cordless Edger Lawn Tool 2 X 2.0Ah Battery Powered Weed Eater with Charger, 12 Inch Lightweight String Trimmer, Auto Line Feed Grass Cutter Lawn Mower for Small Yard Garden","Patio, Lawn & Garden > Outdoor Power Tools",49.99,6000,4.3,487,2026-05-05,нет,,,,,47.49,10.37,10.37,10.69,6414.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈6000/мес; + вход при закупке ≤$4.08 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − волатильность цены 1.2; − тяжёлый товар 3.3 кг",https://www.alibaba.com/trade/search?SearchText=electric%20weed%20wacker%20cordless%20edger,https://www.amazon.com/dp/B0G6KMRNJ5
B0GTMLLHKJ,"BOZYBO Rain Shower Head with Handheld: High Pressure Shower Heads with Handheld Spray Combo, 12"" Rainfall Shower Head and 9 Sprays Hand Showerheads with Magnetic Docking and Power Jets, Nickel 1.75GPM",Tools & Home Improvement > Kitchen & Bath Fixtures,59.99,5000,4.4,2820,2026-05-26,нет,,,,,56.99,16.27,16.27,12.82,6410.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈5000/мес; + вход при закупке ≤$8.79 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=rain%20shower%20head%20handheld%20high,https://www.amazon.com/dp/B0GTMLLHKJ
B0GL357H51,8x10 Area Rugs for Living Room: Vintage Boho Neutral Washable Rug Indoor Soft Large Area Rug Carpet for Bedroom Nursery Farmhouse Dining Room Office Floor Non-Slip Low Pile Under Table Rug Beige,Home & Kitchen > Home Décor Products,65.24,4000,4.5,198,2026-03-12,нет,,,,,61.98,11.58,11.58,13.95,5580.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈4000/мес; + вход при закупке ≤$4.75 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − тяжёлый товар 5.9 кг",https://www.alibaba.com/trade/search?SearchText=area%20rugs%20living%20room%20vintage,https://www.amazon.com/dp/B0GL357H51
B0GSHZN1C3,"Mavax ChillGo Portable Neck Fan - 8000mAh Personal Wearable Fan, 9000 RPM Direct-flow 4X Powerful 360° Airflow Cooling Fan, Max 16H, 4 Speeds, LED Display, Great Gifts for Men Women - 5th Gen Black","Home & Kitchen > Heating, Cooling & Air Quality",34.84,7000,4.4,160,2026-03-14,нет,,,,,33.1,9.08,9.08,7.45,5215.0,BUY,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈7000/мес; + вход при закупке ≤$6.43 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (6 офферов)",https://www.alibaba.com/trade/search?SearchText=chillgo%20portable%20neck%20fan%20mah,https://www.amazon.com/dp/B0GSHZN1C3
