market,asin,title,category,price_usd,monthly_sold,rating,reviews,offers,bb_amazon,net_rev_after_promo,referral_usd,fba_fee_usd,ppc_usd,returns_usd,storage_misc_usd,contribution_usd,freight_usd,duty_pct,max_factory_cogs_25,max_factory_cogs_20,landed_at_25,net_profit_unit_25,roi_25_pct,monthly_net_potential_usd,listed_since,verdict,confidence,rationale,alibaba_url,fba_fee_source,volatility,weight_g,brand,found_by,url
US,B0GWFN7Y8T,"Pocket Hose Ballistic 50 FT Expandable Garden Hose w/Pocket Pivot Swivel Connector, Anti-Burst Sleeve Reinforced with Bulletproof Fiber, Lightweight, No-Kink, Compact, UV-Protected, AS SEEN ON TV","Patio, Lawn & Garden > Gardening & Lawn Care",59.99,40000,4.2,15862,1,False,53.99,8.1,7.5,8.1,1.62,0.85,27.82,1.87,35.0,9.23,11.23,14.33,13.5,94.2,539910.0,2026-04-07,BUY,high,+ продажи ≈40000/мес; + вход при закупке ≤$9.23 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов),https://www.alibaba.com/trade/search?SearchText=ballistic%20expandable%20garden%20hose%20pocket,keepa,0.315,1701,Pocket Hose,US_garden,https://www.amazon.com/dp/B0GWFN7Y8T
US,B0GT7N4VY1,"Spruce Weed Killer Spray Power Wand Kit - Weed + Grass Killer₃ Reusable Weed Sprayer, Spot-Treating Kills Weeds in Lawns and Gardens, Additional 2 AA Batteries Included for Continuous Power (64 oz)","Patio, Lawn & Garden > Gardening & Lawn Care",39.97,30000,4.1,823,1,False,35.97,5.4,8.12,5.4,1.08,0.85,15.13,2.78,35.0,2.48,3.82,6.14,8.99,146.5,242818.0,2026-04-01,WATCH,high,+ продажи ≈30000/мес; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов),https://www.alibaba.com/trade/search?SearchText=weed%20killer%20spray%20power%20wand,keepa,0.0,2531,Spruce,US_garden,https://www.amazon.com/dp/B0GT7N4VY1
US,B0GYF91BXB,"HOMESURE Supports 200lbs Heavy Duty Moving Bags - Strong Zipper & Wrap-Around Handles - Water-Resistant Storage Totes, Durable Alternative to Moving Boxes - 8 Pack - Semi-Transparent",Home & Kitchen > Storage & Organization,29.99,30000,4.8,6960,1,False,26.99,4.05,7.4,4.05,0.81,0.85,9.83,2.03,35.0,0.78,1.78,3.09,6.75,218.6,212554.0,2026-04-24,WATCH,high,+ продажи ≈30000/мес; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов),https://www.alibaba.com/trade/search?SearchText=supports%20lbs%20heavy%20duty%20moving,keepa,0.231,1845,HOMESURE,"US_home_kitchen,US_storage",https://www.amazon.com/dp/B0GYF91BXB
US,B0GLTX2PNR,"HP 63XL/65XL Black High-Yield Ink Cartridge (Replaces and Works with Both 63XL & 65XL) | Works with AMP; DeskJet 1100, 2100, 2600, 3600; Envy 4500, 5000; OfficeJet 3800, 4600, 5200 Series | B7RT5AN",Office Products > Office Electronics,46.89,20000,4.7,235542,25,False,42.2,6.33,3.86,6.33,1.27,0.85,23.56,0.25,35.0,9.46,11.02,13.01,10.55,81.1,188322.0,2026-04-13,WATCH,high,"+ продажи ≈20000/мес; + вход при закупке ≤$9.46 даёт маржу 25%; + Buy Box не у Amazon; − много офферов (25); − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=high%20yield%20ink%20cartridge%20replaces,keepa,0.23,50,HP,US_office,https://www.amazon.com/dp/B0GLTX2PNR
US,B0G625WMBN,"Blink Battery Doorbell 2K+ (newest model) — Wireless video doorbell, 2K resolution, enhanced audio. Required Sync Module not included – Add-On (Black)",Tools & Home Improvement > Electrical,69.99,10000,4.2,202,1,False,62.99,9.45,4.47,9.45,1.89,0.85,36.88,0.25,35.0,15.47,17.8,21.14,15.75,74.5,157478.0,2026-03-31,WATCH,high,"+ продажи ≈10000/мес; + вход при закупке ≤$15.47 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=battery%20doorbell%20newest%20model%20wireless,keepa,0.0,209,Blink,US_tools_diy,https://www.amazon.com/dp/B0G625WMBN
US,B0G62ZV449,"Blink Battery Doorbell 2K+ (newest model) — Wireless video doorbell, 2K resolution, enhanced audio. Required Sync Module not included – Add-On (White)",Tools & Home Improvement > Electrical,69.99,7000,4.2,202,1,False,62.99,9.45,4.47,9.45,1.89,0.85,36.88,0.25,35.0,15.47,17.8,21.14,15.75,74.5,99211.0,2026-03-31,WATCH,high,"+ продажи ≈7000/мес; + вход при закупке ≤$15.47 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − волатильность цены 1.509; − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=battery%20doorbell%20newest%20model%20wireless,keepa,1.509,209,Blink,US_tools_diy,https://www.amazon.com/dp/B0G62ZV449
US,B0GPZPSG9Z,"HydroJug Traveler 40oz, Insulated Tumbler with Handle & Straw, Primrose",Home & Kitchen > Kitchen & Dining,44.99,10000,4.6,17512,5,False,40.49,6.07,6.18,6.07,1.21,0.85,20.1,0.88,35.0,6.74,8.24,9.98,10.12,101.5,95660.0,2026-02-24,WATCH,high,"+ продажи ≈10000/мес; + вход при закупке ≤$6.74 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (5 офферов); − волатильность цены 0.646; − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=traveler%20insulated%20tumbler%20handle%20straw,keepa,0.646,798,HydroJug,US_home_kitchen,https://www.amazon.com/dp/B0GPZPSG9Z
US,B0GYRT3FNL,"DUMOS 64""x21"" Arched Full Length Floor Mirror, Full Body Mirror with Stand, Shatterproof Tempered Glass, Modern Aluminum Alloy Frame, Free Standing or Leaning for Home Decor, Gold",Home & Kitchen > Home Décor Products,48.97,10000,4.6,2757,1,False,44.07,6.61,35.51,6.61,1.32,0.85,-6.83,10.39,35.0,-20.92,-19.29,,11.02,,93710.0,2026-04-28,SKIP,high,+ продажи ≈10000/мес; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − экономика не сходится (закупка ≤$0.00 при марже 20%); − тяжёлый товар 9.4 кг,https://www.alibaba.com/trade/search?SearchText=arched%20full%20length%20floor%20mirror,keepa,0.442,9448,DUMOS,US_home_kitchen,https://www.amazon.com/dp/B0GYRT3FNL
US,B0G62LKVGT,"Introducing Blink Wired Doorbell 2K+ — Head-to-Toe 2K video doorbell, continuous hardwired power, pair with Alexa or Blink Chime (sold separately) required for in-home alerts",Tools & Home Improvement > Electrical,49.99,9000,4.1,293,1,False,44.99,6.75,4.09,6.75,1.35,0.85,25.2,0.25,35.0,10.15,11.82,13.96,11.25,80.6,91107.0,2026-03-31,WATCH,high,"+ продажи ≈9000/мес; + вход при закупке ≤$10.15 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − волатильность цены 2.769; − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=introducing%20wired%20doorbell%20head%20toe,keepa,2.769,150,Blink,US_tools_diy,https://www.amazon.com/dp/B0G62LKVGT
US,B0GLVQP6J4,"HP 61XL Black High-Yield Ink | Works with DeskJet 1000, 1010, 1050, 1510, 2050, 2510, 2540, 3000, 3050, 3510; Envy 4500, 5530; OfficeJet 2620, 4630 | C0PA4AN CH563WN|Packaging May Vary",Office Products > Office Electronics,49.89,9000,4.7,90451,20,False,44.9,6.74,3.86,6.74,1.35,0.85,25.37,0.25,35.0,10.3,11.96,14.15,11.23,79.3,90167.0,2026-04-08,WATCH,high,"+ продажи ≈9000/мес; + вход при закупке ≤$10.30 даёт маржу 25%; + Buy Box не у Amazon; − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=high%20yield%20ink%20works%20deskjet,keepa,0.002,91,HP,US_office,https://www.amazon.com/dp/B0GLVQP6J4
