
===== SHEET: Table (?x?) =====
URL | Image URL | ASIN | Title | Brand | Fulfillment | Category | BSR | UPC | GTIN | EAN | ISBN | Subcategory | Subcategory BSR | Price | Price Trend (90 days) (%) | Monthly Sales | Sales Trend (90 days) (%) | Monthly Revenue | Review Count | Reviews Rating | Seller | Seller Country/Region | Number of Active Sellers | Last Year Sales | Sales Year Over Year (%) | Shipping Details | Length | Width | Height | Weight | Storage Fee (Jan - Sep) | Storage Fee (Oct - Dec) | Best Sales Period | Listing Age (Months) | Number of Images | Variation Count | Sales to Reviews
https://amazon.ae/dp/B0B5SXF6PD | https://m.media-amazon.com/images/I/71p5sEEI-6L._SX450_.jpg | B0B5SXF6PD | TushGuard Office/Car Seat Cushion, Non-Slip Sciatica & Back Coccyx Tailbone Pain | TushGuard | FBA | Home | 111 | N/A | N/A | 6942434312899 | N/A | Back & Seat Cushions | 1 | 44 | -4 | 183 | 17 | 8052 | 26969 | 4.2 | EliteStarTradingLLC | N/A | 7 | 1891 | 181 | Standard Parcel | 4.45 | 4.69 | 13.98 | 1.59 | N/A | N/A | 05/01/2026 | 45 | 8 | 17 | 0.01
https://amazon.ae/dp/B0B5SW6381 | https://m.media-amazon.com/images/I/81d0B9XTElL._SX450_.jpg | B0B5SW6381 | TushGuard Seat Cushion - Memory Foam Cushion for Office Chair, Car Seat, Airplan | TushGuard | FBA | Home | 111 | N/A | N/A | N/A | N/A | Back & Seat Cushions | 1 | 57.9 | 21 | 182 | 17 | 6916 | 26969 | 4.2 | EliteStarTradingLLC | N/A | 4 | 1911 | 183 | Standard Parcel | 4.8 | 4.92 | 13.94 | 1.59 | N/A | N/A | 05/01/2026 | 29 | 8 | 17 | 0.01
https://amazon.ae/dp/B09B54LFXC | https://m.media-amazon.com/images/I/51fV9m7bv-L._SX450_.jpg | B09B54LFXC | ComfiLife Gel Enhanced Seat Cushion – Office Chair Cushion – Non-Slip Gel & Memo | ComfiLife | FBM | Home | 3629 | N/A | 00850023513595 | N/A | N/A | Back & Seat Cushions | 21 | 280.25 | -55 | 128 | -22 | 27883.52 | 102063 | 4.3 | JetSouq | N/A | 5 | 1853 | 27 | Oversize | 3 | 13.57 | 17.52 | 2.21 | N/A | N/A | 05/01/2026 | 52 | 9 | 6 | 0
https://amazon.ae/dp/B014F18ZGU | https://m.media-amazon.com/images/I/81K2tKdkw+L._SX450_.jpg | B014F18ZGU | Gel-Enhanced Non-slip Coccyx Memory Foam Seat Cushion - For Back Pain Relief, Ta | ComfiLife | FBM | Home | 3629 | 703510477941 | N/A | 9352950175262 | N/A | Back & Seat Cushions | 21 | 265.31 | 89 | 128 | 3 | 34113.28 | 102063 | 4.3 | JetSouq | N/A | 4 | 1834 | 22 | Oversize | 2.99 | 13.74 | 17.24 | 2.12 | N/A | N/A | 07/01/2024 | 123 | 8 | 6 | 0
https://amazon.ae/dp/B074C9F45S | https://m.media-amazon.com/images/I/81Qm1-Fja2L._SX450_.jpg | B074C9F45S | Lumbar Support Pillow for Office Chair Memory Foam Back Cushion for Back Pain Re | QUTOOL | FBA | Home | 222 | 716788263116 | 00716788263116 | 0716788263116 | N/A | Back & Seat Cushions | 2 | 33.9 | -19 | 122 | -4 | 4135.8 | 25909 | 3.7 | Versatile Depot Essentials | N/A | 9 | 2518 | -19 | Standard Parcel | 4.45 | 4.76 | 15.2 | 1.65 | N/A | N/A | 08/01/2025 | 92 | 9 | 3 | 0
https://amazon.ae/dp/B08HPQVJMW | https://m.media-amazon.com/images/I/81+Ya+cACUL._SX450_.jpg | B08HPQVJMW | Gel Enhanced Seat Cushion - Non-Slip Orthopedic Gel & Memory Foam Coccyx Cushion | ComfiLife | FBM | Home | 3629 | N/A | 00850023513014 | 5031644965177 | N/A | Back & Seat Cushions | 21 | 243.32 | 48 | 112 | -48 | 23019.36 | 102063 | 4.3 | JetSouq | N/A | 5 | 1874 | 32 | Oversize | 3.15 | 13.78 | 17.09 | 2.25 | N/A | N/A | 03/01/2026 | 64 | 9 | 6 | 0
https://amazon.ae/dp/B0DCN26RN2 | https://m.media-amazon.com/images/I/51VN+hyLcFL._SX450_.jpg | B0DCN26RN2 | SKY-TOUCH Foot Rest, Ergonomic Under Desk Footrest, Foot Massager, Six Heights A | SKY-TOUCH | Amazon | Home | 423 | N/A | N/A | 6942434309806 | N/A | Footrests | 1 | 42 | 12 | 103 | 152 | 4326 | 44 | 3.9 | Amazon | N/A | 1 | N/A | N/A | Oversize | 2.56 | 11.42 | 18.11 | 2.91 | N/A | N/A | 05/01/2026 | 11 | 7 | 0 | 2.34
https://amazon.ae/dp/B0BZPQH141 | https://m.media-amazon.com/images/I/81AL0b+LorL._SX450_.jpg | B0BZPQH141 | BlissTrends Donut Pillow Seat Cushion,Donut Chair Cushions for Postpartum Pregna | BlissTrends | FBA | Home | 3057 | N/A | N/A | N/A | N/A | Back & Seat Cushions | 17 | 57.2 | -63 | 69 | 757 | 4222.8 | 3628 | 4.4 | VINCE UAE | N/A | 10 | 265 | 26400 | Standard Parcel | 4.53 | 4.61 | 13.35 | 1.34 | N/A | N/A | 05/01/2026 | 29 | 7 | 0 | 0.02
https://amazon.ae/dp/B0B6PNNFSB | https://m.media-amazon.com/images/I/71aVnYiYZML._SX450_.jpg | B0B6PNNFSB | SAHEYER Donut Pillow for Tailbone Pain Relief and Hemorrhoids, Memory Foam Donut | SAHEYER | FBA | Home | 1021 | N/A | N/A | N/A | N/A | Back & Seat Cushions | 8 | 139.99 | 54 | 57 | -80 | 7979.43 | 1487 | 4.4 | SAHEYER-AE | N/A | 5 | N/A | N/A | Standard Parcel | 6.14 | 6.22 | 14.88 | 1.94 | N/A | N/A | 04/01/2026 | 46 | 9 | 3 | 0.04
https://amazon.ae/dp/B0F9DR65YY | https://m.media-amazon.com/images/I/51mi-lodhNL._SX450_.jpg | B0F9DR65YY | Benazcap Memory Foam Seat Cushions for Tailbone Pain Relief, Office Chair Cushio | Benazcap | FBA | Home | 881 | N/A | N/A | 6978421747825 | N/A | Back & Seat Cushions | 7 | 85.49 | 17 | 54 | 40 | 4616.46 | 1057 | 4.3 | Plwip(Brand Owner) | N/A | 7 | N/A | N/A | Standard Parcel | 4.33 | 4.33 | 15.75 | 1.76 | N/A | N/A | 05/01/2026 | 11 | 8 | 0 | 0.05
