
===== SHEET: Table (?x?) =====
URL | Image URL | ASIN | Title | Brand | Fulfillment | Category | BSR | UPC | GTIN | EAN | ISBN | Subcategory | Subcategory BSR | Price | Price Trend (90 days) (%) | Monthly Sales | Sales Trend (90 days) (%) | Monthly Revenue | Review Count | Reviews Rating | Seller | Seller Country/Region | Number of Active Sellers | Last Year Sales | Sales Year Over Year (%) | Shipping Details | Length | Width | Height | Weight | Storage Fee (Jan - Sep) | Storage Fee (Oct - Dec) | Best Sales Period | Listing Age (Months) | Number of Images | Variation Count | Sales to Reviews
https://amazon.ae/dp/B07XQKQSM3 | https://m.media-amazon.com/images/I/61v-DUo-vZL._SX450_.jpg | B07XQKQSM3 | SKY-TOUCH SKY TOUCH 20 Pieces Each Pack Heavy Duty Adhesive Wall Hooks, Waterpro | SKY-TOUCH | Amazon | Home | 8 | 750073732826 | N/A | 6222054886063 | N/A | Multi-Purpose Hooks | 1 | 10.15 | -46 | 810 | 23 | 8221.5 | 5442 | 4.5 | Amazon | N/A | 1 | 10820 | -17 | Standard Parcel | 2.17 | 2.28 | 5.91 | 0.11 | N/A | N/A | 07/01/2025 | 81 | 6 | 0 | 0.15
https://amazon.ae/dp/B0FHWCQVDN | https://m.media-amazon.com/images/I/51ZKoWBUOSL._SX450_.jpg | B0FHWCQVDN | McMola Heavy Duty Adhesive Hooks 8kg (Max) 12pcs - Self Adhesive Wall Hooks for  | McMola | Amazon | Home | 33 | N/A | N/A | 5061103640383 | N/A | Multi-Purpose Hooks | 2 | 4.95 | -37 | 356 | 58 | 1762.2 | 68 | 4.2 | Amazon | N/A | 1 | N/A | N/A | Standard Parcel | 2.13 | 3.58 | 7.95 | 0.09 | N/A | N/A | 01/01/2026 | 11 | 7 | 0 | 5.65
https://amazon.ae/dp/B096PBCWVF | https://m.media-amazon.com/images/I/71K2Fbiy8sL._SX450_.jpg | B096PBCWVF | STEUGO Black Corner Shower Caddy Adhesive Shower Shelf US304 Stainless Steel Sho | STEUGO | FBA | Home | 58 | 785382201718 | N/A | 0785382201718 | N/A | Bathroom Shower Caddies | 1 | 44.98 | -63 | 248 | 640 | 11155.04 | 8149 | 4.3 | STEUGO AE | N/A | 1 | 2524 | 15 | Standard Parcel | 2.6 | 8.9 | 8.98 | 1.46 | N/A | N/A | 05/01/2026 | 43 | 7 | 4 | 0.03
https://amazon.ae/dp/B08K8LLFQ6 | https://m.media-amazon.com/images/I/61pGgmwhCdL._SX450_.jpg | B08K8LLFQ6 | STEUGO Shower Caddy Corner, Bathroom Corner Shower Shelfs, Adhesive Wall Mounted | STEUGO | FBA | Home | 58 | N/A | N/A | 6294020615878 | N/A | Bathroom Shower Caddies | 1 | 44.98 | -51 | 247 | 760 | 11110.06 | 8149 | 4.3 | STEUGO AE | N/A | 2 | 2508 | 14 | Standard Parcel | 2.6 | 8.9 | 9.06 | 1.37 | N/A | N/A | 05/01/2026 | 68 | 8 | 4 | 0.03
https://amazon.ae/dp/B0D7SBY7M2 | https://m.media-amazon.com/images/I/71QgaXgp2sL._SX450_.jpg | B0D7SBY7M2 | SKY-TOUCH 6 Pack Large Capacity Storage Bags, 90L Foldable Clothing Storage Bags | SKY-TOUCH | Amazon | Home | 73 | N/A | N/A | 6942434304139 | N/A | Under-Bed Storage | 5 | 31.9 | -10 | 245 | 2248 | 7815.5 | 881 | 3.8 | Amazon | N/A | 1 | 1138 | N/A | Standard Parcel | 4.53 | 9.84 | 11.81 | 2.29 | N/A | N/A | 01/01/2025 | 23 | 7 | 5 | 0.28
https://amazon.ae/dp/B07PD3YST7 | https://m.media-amazon.com/images/I/513Asa3kbuL._SX450_.jpg | B07PD3YST7 | Amazon Basics Smudge Resistant Rectangular Trash Can With Soft-Close Foot Pedal, | Amazon Basics | Amazon | Home | 72 | 192233059716 | 00192233059716 | 0192233059716 | N/A | Bathroom Wastebaskets | 1 | 58 | 1 | 233 | 15 | 13514 | 46183 | 4.6 | Amazon | N/A | 1 | 3181 | -22 | Standard Parcel | 9.09 | 10.28 | 14.09 | 3.2 | N/A | N/A | 12/01/2024 | 77 | 6 | 4 | 0.01
https://amazon.ae/dp/B0FRXY22HN | https://m.media-amazon.com/images/I/61yQGgy1VrL._SX450_.jpg | B0FRXY22HN | Chenille Sofa Cover - Cat-Proof & Anti-Scratch Couch Protector Slipcover with Ta | Generic | FBA | Home | 181 | N/A | N/A | N/A | N/A | Sofa Slipcovers | 2 | 129.99 | 21 | 212 | -7 | 27557.88 | 22 | 4.3 | ELF-AMZON-AE | N/A | 1 | N/A | N/A | Standard Parcel | 5.28 | 11.97 | 16.54 | 4.54 | N/A | N/A | 04/01/2026 | 8 | 7 | 59 | 9.64
https://amazon.ae/dp/B09ZV2TX28 | https://m.media-amazon.com/images/I/81ATH1p6zWL._SX450_.jpg | B09ZV2TX28 | Lifewit 6 Packs Clothes Storage Bag, Storage Bins for Clothes, Blankets, Comfort | Lifewit | FBA | Home | 70 | 727156898731 | N/A | 6221345004902 | N/A | Under-Bed Storage | 1 | 49.99 | -6 | 208 | 173 | 10397.92 | 66530 | 4.4 | Lifewit Home ME | N/A | 4 | 606 | N/A | Standard Parcel | 3.03 | 7.99 | 12.13 | 1.98 | N/A | N/A | 05/01/2026 | 47 | 10 | 6 | 0
https://amazon.ae/dp/B08JG3HYC8 | https://m.media-amazon.com/images/I/81nPCatiY4L._SX450_.jpg | B08JG3HYC8 | Lifewit 6 Packs Clothes Storage Bag, Storage Bins for Clothes, Blankets, Comfort | Lifewit | FBA | Home | 70 | N/A | N/A | 6221345004544 | N/A | Under-Bed Storage | 1 | 69.98 | -8 | 206 | 261 | 14415.88 | 66530 | 4.4 | Lifewit Home ME | N/A | 6 | 564 | N/A | Standard Parcel | 2.48 | 9.84 | 13.15 | 2.16 | N/A | N/A | 05/01/2026 | 59 | 10 | 6 | 0
https://amazon.ae/dp/B0DCG6CDPZ | https://m.media-amazon.com/images/I/71r0psFDGwL._SX450_.jpg | B0DCG6CDPZ | SKY-TOUCH 2Pcs Heavy Duty Extra Large Moving Bags Foldable Large Capacity Woven  | SKY-TOUCH | Amazon | Home | 75 | N/A | N/A | 6942434309851 | N/A | Moving Bags | 1 | 29.9 | -2 | 200 | 235 | 5980 | 43 | 3.9 | Amazon | N/A | 1 | 815 | N/A | Standard Parcel | 1.97 | 11.81 | 14.17 | 1.06 | N/A | N/A | 05/01/2026 | 21 | 7 | 3 | 4.65
https://amazon.ae/dp/B0FWD3LN9F | https://m.media-amazon.com/images/I/71yoajp2VxL._SX450_.jpg | B0FWD3LN9F | Chenille Sofa Cover - Cat-Proof & Anti-Scratch Couch Protector Slipcover with Ta | Generic | FBA | Home | 181 | N/A | N/A | N/A | N/A | Sofa Slipcovers | 2 | 75 | N/A | 191 |  | 14325 | 22 | 4.3 | ELF-AMZON-AE | N/A | 1 | N/A | N/A | Standard Parcel | 2.76 | 9.84 | 14.17 | 2.2 | N/A | N/A | 05/01/2026 | 8 | 9 | 59 | 8.68
https://amazon.ae/dp/B09TSW3RRK | https://m.media-amazon.com/images/I/51-y0XMjh8L._SX450_.jpg | B09TSW3RRK | SKY-TOUCH Folding Chair with Padded Seat&Backrest,Multi Functional PU Portable C | SKY-TOUCH | Amazon | Home | 126 | N/A | N/A | 6974042152932 | N/A | Folding Chairs | 1 | 36.35 | -14 | 190 | 135 | 6906.5 | 473 | 4.1 | Amazon | N/A | 1 | 1359 | 45 | Oversize | 1.57 | 9.69 | 35.59 | 9.61 | N/A | N/A | 08/01/2025 | 51 | 8 | 2 | 0.41
