
===== SHEET: Table (?x?) =====
URL | Image URL | ASIN | Title | Brand | Fulfillment | Category | BSR | UPC | GTIN | EAN | ISBN | Subcategory | Subcategory BSR | Price | Price Trend (90 days) (%) | Parent Level Sales | ASIN Sales | Sales Trend (90 days) (%) | Parent Level Revenue | ASIN Revenue | Review Count | Reviews Rating | Seller | Seller Country/Region | Number of Active Sellers | Last Year Sales | Sales Year Over Year (%) | Shipping Details | Length | Width | Height | Weight | Storage Fee (Jan - Sep) | Storage Fee (Oct - Dec) | Best Sales Period | Listing Age (Months) | Number of Images | Variation Count | Sales to Reviews
https://amazon.de/dp/B0BF9W3WC4 | https://m.media-amazon.com/images/I/61gmMv9mlGL._SX450_.jpg | B0BF9W3WC4 | JURA original - CLARIS Smart+ Filterpatrone mit automatischer Filtererkennung -  | JURA | Amazon | Küche, Haushalt & Wohnen | 27 | N/A | N/A | 7610917242337 | N/A | Wasserfilterkartuschen | 1 | 39.83 | -17 | 33774 | 33774 | -23 | 1349736.3 | 1349736.31 | 12135 | 4.8 | Amazon | N/A | 59 | 540287 | 16 | Extra Large Envelope | 2.01 | 5.75 | 7.68 | 0.73 | N/A | N/A | 11/01/2025 | 45 | 6 | 1 | 2.78
https://amazon.de/dp/B09F98MMVC | https://m.media-amazon.com/images/I/61ctoJVjMLL._SX450_.jpg | B09F98MMVC | JURA original - 3-Phasen-Reinigungstabletten für 6 Reinigungen - TÜV-zertifizier | JURA | Amazon | Küche, Haushalt & Wohnen | 41 | N/A | N/A | 7610917242252 | N/A | Entkalker | 3 | 9.99 | -6 | 17547 | 17547 | -19 | 175292.76 | 175292.77 | 7545 | 4.8 | Amazon | N/A | 57 | 259208 | N/A | Standard Envelope | 0.67 | 2.48 | 4.65 | 0.07 | N/A | N/A | 11/01/2025 | 57 | 6 | 2 | 2.33
https://amazon.de/dp/B07WWGKRHL | https://m.media-amazon.com/images/I/71kaddNyUjL._SX450_.jpg | B07WWGKRHL | Siemens Entkalkungstabletten TZ80002A, 3 Stück, entfernt Kalkablagerungen und sc | Siemens | Amazon | Küche, Haushalt & Wohnen | 53 | N/A | 04242003870525 | 4242003870525 | N/A | Entkalker | 2 | 9.99 | -22 | 21302 | 14589 | -30 | 342094.25 | 153228.41 | 23994 | 4.8 | Amazon | N/A | 69 | 350277 | 42 | Standard Envelope | 0.91 | 3.31 | 7.36 | 0.31 | N/A | N/A | 12/01/2025 | 82 | 7 | 3 | 0.89
https://amazon.de/dp/B008YETL18 | https://m.media-amazon.com/images/I/41npm8BNMqL._SX450_.jpg | B008YETL18 | De'Longhi EcoDecalk Entkalker DLSC500, 5 Entkalkungs Dosen, Kaffee Maschinen Ent | De'Longhi | Amazon | Küche, Haushalt & Wohnen | 22 | N/A | 08004399329492 | 8004399329492 | N/A | Entkalker | 1 | 7.98 | -93 | 15278 | 13334 |  | 139055.83 | 106409.11 | 165038 | 4.8 | Amazon | N/A | 79 | 0 | N/A | Small Parcel | 3.23 | 3.39 | 7.6 | 1.37 | N/A | N/A | 06/01/2026 | 230 | 6 | 5 | 0.09
https://amazon.de/dp/B00CXQ9GQ8 | https://m.media-amazon.com/images/I/81N5k5lzlPL._SX450_.jpg | B00CXQ9GQ8 | De'Longhi Original Wasserfilter DLSC002 - Zubehör für Kaffeevollautomaten mit Pf | De'Longhi | Amazon | Küche, Haushalt & Wohnen | 192 | N/A | N/A | 8004399327252 | N/A | Wasserfilter | 2 | 6.39 | -24 | 5 | 13124 | -78 | 129.42 | 81679.83 | 55123 | 4.7 | Amazon | N/A | 53 | 202 | -11 | Extra Large Envelope | 1.73 | 2.52 | 7.01 | 0.26 | N/A | N/A | 08/01/2025 | 179 | 7 | 3 | 0
https://amazon.de/dp/B08W9V3V8M | https://m.media-amazon.com/images/I/61vLpBau9WL._SX450_.jpg | B08W9V3V8M | Siemens BRITA INTENZA Wasserfilter, 3 Stück, reduziert die Wasserhärte, für ein  | Siemens | Amazon | Küche, Haushalt & Wohnen | 76 | N/A | 04242003900437 | 4242003900437 | N/A | Wasserfilter | 1 | 19.99 | -7 | 14727 | 11681 | -48 | 306925.73 | 236015.06 | 18949 | 4.8 | Amazon | N/A | 53 | 139263 | -33 | Small Parcel | 2.83 | 5.47 | 5.51 | 0.53 | N/A | N/A | 03/01/2026 | 64 | 9 | 4 | 0.78
https://amazon.de/dp/B00143OMBU | https://m.media-amazon.com/images/I/61lcsTEsflL._SX450_.jpg | B00143OMBU | JURA original - Entkalkungstabletten für 3 Entkalkungsvorgänge - TÜV-zertifizier | JURA | Amazon | Küche, Haushalt & Wohnen | 280 | 735343646539 | 07610917618484 | 7610917618484 | N/A | Entkalker | 5 | 11.99 | 3 | 9684 | 9684 | 2 | 116109.35 | 116109.33 | 13003 | 4.8 | Amazon | N/A | 48 | 131630 | 28 | Large Envelope | 1.26 | 2.83 | 6.81 | 0.4 | N/A | N/A | 11/01/2025 | 228 | 5 | 0 | 0.74
https://amazon.de/dp/B0D83N2KXC | https://m.media-amazon.com/images/I/51gaEmFI3DL._SX450_.jpg | B0D83N2KXC | Milchaufschäumer Stab/Milchschäumer Elektrisch tragbarer mit Hoher Leistung Getr | JIMYIU | FBA | Küche, Haushalt & Wohnen | 76 | N/A | N/A | N/A | N/A | Batteriebetriebene Milchaufschäumer | 1 | 6.99 | -6 | 14374 | 9646 | -19 | 151852.34 | 61824.63 | 2237 | 4.3 | T-TEX S.R.L. | Romania | 2 | 0 | N/A | Large Envelope | 1.42 | 1.61 | 9.13 | 0.18 | N/A | N/A | 03/01/2026 | 23 | 7 | 6 | 6.43
https://amazon.de/dp/B082XFDHT9 | https://m.media-amazon.com/images/I/61w9hM9davL._SX450_.jpg | B082XFDHT9 | Siemens Reinigungstabletten TZ80001A, 10 Stück, Kaffeeöl-Rückstände ideal entfer | Siemens | Amazon | Küche, Haushalt & Wohnen | 141 | N/A | 04242003870501 | 4242003870501 | N/A | Reinigungstabletten | 1 | 9.99 | -23 | 8648 | 8648 | -56 | 84792.88 | 84792.88 | 13288 | 4.8 | Amazon | N/A | 56 | 159257 | 28 | Standard Envelope | 0.67 | 2.52 | 6.89 | 0.09 | N/A | N/A | 12/01/2025 | 82 | 6 | 1 | 0.65
https://amazon.de/dp/B07KF9TC3J | https://m.media-amazon.com/images/I/71DI+OlxAUL._SX450_.jpg | B07KF9TC3J | PERLESMITH TV Wandhalterung, Schwenkbare Neigbare TV Halterung für 26-70 Zoll Fl | PERLESMITH | FBA | Elektronik & Foto | 127 | 736900377064 | N/A | 0736900377064 | N/A | Wand- & Deckenhalterungen | 1 | 31.99 | -6 | 8925 | 8617 |  | 278691.77 | 261436.79 | 79088 | 4.7 | BSQ Technology EU | Germany | 2 | 0 | N/A | Standard Parcel | 3.39 | 7.36 | 17.4 | 6.92 | N/A | N/A | 05/01/2026 | 63 | 7 | 2 | 0.11
