
===== SHEET: Shortlist DE+UAE (63x22) =====
ASIN | Название | Категория | US цена, $ | US продажи/мес | Рейтинг | Отзывы | Дата листинга | Есть на DE | DE цена, € | DE продажи/мес | DE офферы | DE закупка ≤ (25%), $ | UAE цена (оценка), $ | UAE закупка ≤ (25%), $ | ЗАКУПКА НЕ ВЫШЕ (DE+UAE), $ | Net profit/шт @25%, $ | Оценка net/мес DE+UAE, $ | Вердикт | Обоснование | Alibaba поиск | Amazon US
B0GWFN7Y8T | Pocket Hose Ballistic 50 FT Expandable Garden Hose w/Pocket Pivot Swivel Connect | Patio, Lawn & Garden > Gardening & Lawn Care | 59.99 | 40000 | 4.2 | 15862 | 2026-04-07 | нет |  |  |  |  | 56.99 | 16.4 | 16.4 | 12.82 | 51280 | BUY | на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈40 | Alibaba | Amazon
B0GQHGFFHC | Handheld Steam Cleaner, 230°F Pressurized Steamer with No Water Spitting & Conti | Home & Kitchen > Vacuums & Floor Care | 69.99 | 6000 | 4.4 | 573 | 2026-02-27 | да | 101.31 |  | 1 | 33.84 | 66.49 | 19.97 | 19.97 | 14.96 | 8976 | BUY | DE: есть листинг, ≈? шт/мес, 1 офферов; + продажи ≈6000/мес; + вход при закупке  | Alibaba | Amazon
B0H2ZJFN9G | POCALAND Bidet Attachment | Tools & Home Improvement > Kitchen & Bath Fixtures | 39.99 | 10000 | 4.6 | 62 | 2026-05-26 | нет |  |  |  |  | 37.99 | 10.49 | 10.49 | 8.55 | 8550 | BUY | на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈10 | Alibaba | Amazon
B0GWFRGX48 | Pocket Hose Ballistic 25 FT Expandable Garden Hose w/Pocket Pivot Swivel Connect | Patio, Lawn & Garden > Gardening & Lawn Care | 39.99 | 10000 | 4.2 | 15791 | 2026-04-07 | нет |  |  |  |  | 37.99 | 9.37 | 9.37 | 8.55 | 8550 | BUY | на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈10 | Alibaba | Amazon
B0H3T9MSFL | Uwant Upholstery Cleaner Machine with 18Kpa Suction Portable Carpet Cleaner Mach | Home & Kitchen > Vacuums & Floor Care | 69.97 | 5000 | 4.6 | 156 | 2026-06-03 | нет |  |  |  |  | 66.47 | 16.73 | 16.73 | 14.96 | 7480 | BUY | на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈50 | Alibaba | Amazon
B0GJS94H49 | 250 Anniversary Usa Flag, Commemorative House Flags, Two-sided Design 3x5 Ft, Pa | Patio, Lawn & Garden > Outdoor Décor | 39.99 | 8000 | 4.6 | 352 | 2026-02-28 | нет |  |  |  |  | 37.99 | 11.05 | 11.05 | 8.55 | 6840 | BUY | на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈80 | Alibaba | Amazon
B0G6KMRNJ5 | 20V Electric Weed Wacker Cordless Edger Lawn Tool 2 X 2.0Ah Battery Powered Weed | Patio, Lawn & Garden > Outdoor Power Tools | 49.99 | 6000 | 4.3 | 487 | 2026-05-05 | нет |  |  |  |  | 47.49 | 10.37 | 10.37 | 10.69 | 6414 | BUY | на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈60 | Alibaba | Amazon
B0GTMLLHKJ | BOZYBO Rain Shower Head with Handheld: High Pressure Shower Heads with Handheld  | Tools & Home Improvement > Kitchen & Bath Fixtures | 59.99 | 5000 | 4.4 | 2820 | 2026-05-26 | нет |  |  |  |  | 56.99 | 16.27 | 16.27 | 12.82 | 6410 | BUY | на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈50 | Alibaba | Amazon
B0GL357H51 | 8x10 Area Rugs for Living Room: Vintage Boho Neutral Washable Rug Indoor Soft La | Home & Kitchen > Home Décor Products | 65.24 | 4000 | 4.5 | 198 | 2026-03-12 | нет |  |  |  |  | 61.98 | 11.58 | 11.58 | 13.95 | 5580 | BUY | на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈40 | Alibaba | Amazon
B0GSHZN1C3 | Mavax ChillGo Portable Neck Fan - 8000mAh Personal Wearable Fan, 9000 RPM Direct | Home & Kitchen > Heating, Cooling & Air Quality | 34.84 | 7000 | 4.4 | 160 | 2026-03-14 | нет |  |  |  |  | 33.1 | 9.08 | 9.08 | 7.45 | 5215 | BUY | на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈70 | Alibaba | Amazon
B0H2MCCNWR | Vestomeli Upgrade Bidet Attachment for Toilet Seat, Adjustable Angle Dual Nozzle | Tools & Home Improvement > Kitchen & Bath Fixtures | 59.99 | 4000 | 4.3 | 114 | 2026-05-22 | нет |  |  |  |  | 56.99 | 17.74 | 17.74 | 12.82 | 5128 | BUY | на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈40 | Alibaba | Amazon
B0GRFH95WT | Nuzzle Queen Size Adjustable Firm Pillow – Hotel Luxury Neck Support, Height Adj | Home & Kitchen > Bedding | 47.59 | 5000 | 4.3 | 8071 | 2026-02-28 | нет |  |  |  |  | 45.21 | 10.1 | 10.1 | 10.17 | 5085 | BUY | на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈50 | Alibaba | Amazon
B0GT8HK7LS | Portable Air Conditioner, 2026 Upgraded 4-IN-1 Portable Ice Fan with 3 Cooling S | Home & Kitchen > Heating, Cooling & Air Quality | 54.98 | 4000 | 4.2 | 274 | 2026-03-20 | нет |  |  |  |  | 52.23 | 15.09 | 15.09 | 11.75 | 4700 | BUY | на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈40 | Alibaba | Amazon
B0GHNMJQ2C | Bug Zapper Outdoor & Indoor,Cordless Portable Mosquito Zapper with Rechargeable  | Patio, Lawn & Garden > Pest Control | 35.97 | 6000 | 4.4 | 461 | 2026-03-11 | нет |  |  |  |  | 34.17 | 8.99 | 8.99 | 7.69 | 4614 | BUY | на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈60 | Alibaba | Amazon
B0GV2DHXWS | Chasesun Portable Neck Fan - Rechargeable Personal Fan, 20 Hours Cooling Time, N | Home & Kitchen > Heating, Cooling & Air Quality | 29.99 | 7000 | 4.7 | 258 | 2026-03-27 | нет |  |  |  |  | 28.49 | 7.37 | 7.37 | 6.41 | 4487 | BUY | на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈70 | Alibaba | Amazon
B0GJ4NHH4L | Travel Steamer for Clothes, 100-240V Dual Voltage Garment Steamer, 1000W Handhel | Home & Kitchen > Irons & Steamers | 49.99 | 4000 | 4.6 | 129 | 2026-04-01 | да | 78.52 |  | 1 | 26.11 | 47.49 | 13.85 | 13.85 | 10.69 | 4276 | BUY | DE: есть листинг, ≈? шт/мес, 1 офферов; + продажи ≈4000/мес; + вход при закупке  | Alibaba | Amazon
