"asin","brand","price","monthly_sold","rating","reviews","offers","weight_g","len_mm","wid_mm","hei_mm","fba_us_cents","cat2","title"
"B0DSB3M4MR","CRISLEX",18.99,7000,4.4,1001,1,431,225,224,67,572,"Heating, Cooling & Air Quality","Portable Neck Fan that Blow Cold Air, LED Display, Rechargeable Hands-Free Wearable Cooling Personal Fan, 5 Speed, Neck Support, Bladeless Neck Air Conditioner, Gifts for Women/Men, Hot Flashes"
"B0G5DSK3YF","WTREE",19.98,5000,4.6000000000000005,283,1,1120,428,323,44,648,"Storage & Organization","WTREE Laundry Hamper with Lid, Reinforced Sturdy Clothes Hamper with Anti-Puncture Base, Large Collapsible Laundry Basket with Removable Liner Bag, Tall Dirty Clothes Bin for Family, 100L Grey"
"B0G7YJ191J","LIPETY",29.98,5000,4.3,5693,2,1569,404,314,179,964,"Heating, Cooling & Air Quality","Portable Foldable Rechargeable Oscillating Fan - 8.6"" 8000mah Battery Operated USB C Small Fan with Remote Quiet Table Desk Fan Folding Standing Pedestal Fan for Bedroom Rome Office Camping Travel"
"B0G8HSMYJJ","Astercook",19.98,4000,4.699999999999999,312,1,1279,361,141,108,690,"Kitchen & Dining","Astercook Knife Set, 6-Piece Kitchen Knife Set with Block, High Carbon Stainless Steel Ultra Sharp Kitchen Knives, Wood Grain Handle, Dishwasher Safe Knife Block Set, Khaki, Kitchen Utility Knives"
"B0GCJQ4Z51","NULAS",29.99,4000,4.699999999999999,272,1,1161,355,154,119,690,"Kitchen & Dining","NULAS Knife Set, 8-Piece Kitchen Knife Set with Universal Block - Anti-Rust Chef Knives, Ergonomic Design, Dishwasher Safe (Black)"
"B0GDTFFKYC","lovemoon",27.99,7000,4.699999999999999,165,1,640,442,146,107,730,"Home Décor Products","lovemoon 130 Pcs Artificial Mixed EucalyptusStems Bulk, 5 Kinds of Faux GreeneryEucalyptus Leaves Bulk for Vase Wedding DIY Bouquets Floral Arrangement Home Decor (130, Green)"
"B0GF6PYHD1","VOSSER",69.99,10000,4.5,1550,2,8741,424,343,180,1272,"Bedding","VOSSER Air Mattress Queen with Built-in Pump, 18"" Raised Inflatable Blow Up Mattress,Upgraded Heavy Duty Portable Air Bed for Home,Guests,Floor & Camping, Self Inflating Colchon Inflable for Adults"
"B0GF7LLCL8","SUOCO",29.98,4000,4.4,236,2,1160,251,172,144,659,"Storage & Organization","Travel Vacuum Bags with Cordless Electric Pump, 16 Combo Compression Packing Cubes for Clothing Clothes, Luggage Suitcase Organizer, Space Saver Vacation Cruise Travel Essentials"
"B0GH7X9FGS","Levoit",39.98,9000,4.4,1108,1,1565,418,154,154,782,"Heating, Cooling & Air Quality","LEVOIT Tower Fan for Bedroom, 20dB Quiet Desk Fan with 23ft/s, Portable & Easy to Carry, 3-Angle & 5-Speed Mini Oscillating Fan, DC Motor, Bladeless, Remoter, 12H Timer, for Home, Room, Office, White"
"B0GHKNZH44","CHEERAIR",26.99,4000,4.5,270,2,290,221,82,50,446,"Heating, Cooling & Air Quality","Cheerair Handheld Portable Fan, 6-Speed Powerful Mini Personal Fan, Rechargeable 5000mAh Battery with Up to 15 Hours Runtime, Pocket Turbo Fan with Smart LED Display, Ideal for Travel, Camping, Makeup"
