"asin","brand","price","monthly_sold","rating","reviews","offers","weight_g","len_mm","wid_mm","hei_mm","fba_us_cents","cat2","title"
"B0FQJGFGT7","NASAMA",26.13,500,4.2,62,1,898,285,181,178,763,"Artificial Plants & Flowers","NASAMA Realistic Artificial Potted Plant, Faux Indoor Greenery for Home Office Living Room Bookshelf Bathroom Decor, Low-Maintenance Space-Saving Fake Plants with Modern Decorative Vase"
"B0FZ5SG6HQ","Rowfad",24.29,2000,4.699999999999999,1635,1,699,437,140,97,648,"Artificial Plants & Flowers","18 Pcs Artificial Fake Pansy Flowers for Outdoor, UV Resistant Faux Silk Pansies Patriotic Flowers for Outside for Planter Front Door Porch Patio Window 4th of July Home Decor (18, Red, White, Blue)"
"B0FZ5SGBV2","Rowfad",44.99,900,4.699999999999999,1635,1,1379,436,202,146,812,"Artificial Plants & Flowers","36 Pcs Artificial Fake Pansy Flowers for Outdoor, UV Resistant Faux Silk Pansies Patriotic Flowers for Outside for Planter Front Door Porch Patio Window 4th of July Home Decor(36, Red, White, Blue)"
"B0G4CXL7F8","Alupssuc",26.39,1000,4.5,496,2,739,381,176,149,771,"Artificial Plants & Flowers","Alupssuc 2Pcs 20"" Artificial Topiary Ball Flowers, UV Resistant Outdoor Faux Plants with Ground Spikes, Fake Bushes, 4 Colors Mix Spring Summer Decor for Garden, Porch, Patio & Indoor Planters"
"B0G4PK9W3J","INXUGAO",28.99,500,4.699999999999999,369,1,771,300,289,83,707,"Artificial Plants & Flowers","INXUGAO Artificial Flowers for Outdoors Fake Plants Outside, 12 Bundles Silk Morning Glory with Eucalyptus + Orchid Leaf UV Resistant Realistic Faux Flowers for Porch Planter Garden Patio (Mix Color)"
"B0G578ZVMN","florisso",20.99,600,4.2,153,1,912,367,147,145,738,"Artificial Plants & Flowers","florisso 28"" Artificial Monstera Plant Tall Fake Faux Plants Indoor Outdoor Tree for Living Room Home House Decoration"
"B0G5YJSGPH","Auihiay",27.99,500,4.6000000000000005,106,1,490,454,105,102,601,"Artificial Plants & Flowers","Auihiay 6 Bundles Hydrangea Artificial Flowers for Outdoors and Indoor, Bulk 30 Heads, UV Resistant Faux Hydrangea Flowers for Garden, Porch, Yard, Window Box & Outdoor Wedding Decoration (Blue)"
"B0G65Q888M","PABREY",26.99,500,4.6000000000000005,107,1,621,350,140,140,690,"Artificial Plants & Flowers","PABREY 12 Pcs Artificial Flowers for Outdoors, Faux Silk Geraniums Flowers UV Resistant Fake Flowers Outdoor Plants for Front Porch Yard Patio Garden Home Decor (12, Red)"
"B0G6YYS3MM","HyeFlora",24.99,500,4.6000000000000005,519,1,739,403,135,96,631,"Artificial Plants & Flowers","HyeFlora 20 Bundles Artificial Fake Outdoor Plants Flowers for Spring Decoration, UV Resistant Realistic White Plastic Flowers Faux Plant Monkey Grass for Planter Home Garden Porch Patio Window Box"
"B0G6ZPTF9C","RECUTMS",23.49,400,4.699999999999999,91,1,458,313,115,111,566,"Artificial Plants & Flowers","6 Bundles Artificial Greenery Stems, 14.5"" Fake Lucky Bamboo Leaves Faux Outdoor Plants UV Resistant Plastic Shrubs for Outside Home Room Garden Patio Front Porch Farmhouse Pathway Indoor Decorations"
