name,price,ref_asin,ref_price,net,vat,referral,fba,storage,ppc,returns,fob_usd,landed,profit,margin,roi,fob_max,breakeven,units_mo,profit_mo,duty,hs,freight
"Фильтр совм. DeLonghi DLSC002, 6-pack",19.99,B0C7ZTVPPB,19.94,16.8,3.19,3.0,3.47,0.4,2.4,0.4,6.0,6.68,0.45,2.3,7.0,1.36,19.17,800,361,3.5%,8421.21 (фильтры воды),0.5
"Фильтр совм. Jura (RFID), 6-pack",39.99,B0G1438SF7,39.99,33.61,6.38,6.0,3.46,0.4,4.8,0.8,10.0,10.6,7.55,18.9,71.0,7.5,26.27,500,3774,3.5%,8421.21,0.5
"Kirschentkerner (вишнечистка, стол)",45.99,B0CSZ1KZZB,49.99,38.65,7.34,6.9,3.86,0.45,5.52,0.92,5.0,6.13,14.87,32.3,243.0,8.29,18.97,400,5948,8.5%,8210.00 (мех. кухонные устройства),0.7
Kühltasche faltbar 30L (сумка-холодильник),19.99,B0CP2GLKW7,21.24,16.8,3.19,3.0,4.35,0.4,2.4,0.4,3.2,4.32,1.93,9.7,45.0,0.24,16.48,500,966,9.7%,4202.92 (термосумки),0.7
Mülltrennsystem 2×15L выдвижной,49.99,B0DTPH75V8,57.11,42.01,7.98,7.5,7.94,1.0,6.0,1.0,12.0,23.29,-4.72,-9.4,-20.0,-5.09,58.56,150,-707,6.5%,3924/7326 (пластик+металл),10.9
Kühldecke 150×200 Arc-Chill,42.99,B07QJ132TD,54.99,36.13,6.86,6.45,4.42,0.6,5.16,0.86,8.5,10.29,8.35,19.4,81.0,6.23,27.82,225,1877,12.0%,6301.40 (одеяла синт.),1.0
"Fliegengitter Magnet 150×130, 4-pack",39.99,B0CX5K1K2D,47.99,33.61,6.38,6.0,5.48,0.5,4.8,0.8,6.5,8.1,7.93,19.8,98.0,4.45,25.58,300,2378,6.5%,3926/7019 (сетка+магниты),1.25
"TV-стенд мобильный 43–75"" (BKDEP CT7501)",149.99,B0C37Q5B6J,127.99,126.04,23.95,22.5,14.11,3.5,18.0,3.0,29.7,35.04,29.89,19.9,85.0,21.67,95.68,75,2241,0.0%,9403.20 (мебель метал.) 0%,6.6
"Hängeregisterschrank ZY-3 (Demity, 4 ящика)",219.0,B01FPD5ZUQ,195.99,184.03,34.97,32.85,25.0,5.0,26.28,4.38,45.0,64.94,25.58,11.7,39.0,14.22,172.52,21,537,0.0%,9403.10 (офисн. мебель метал.) 0%,22.0
Brotbeutel лен/воск 2шт (резерв),19.99,B0GHQMDL44,20.99,16.8,3.19,3.0,3.08,0.35,2.4,0.4,2.2,3.03,4.54,22.7,150.0,1.77,11.73,180,817,12.0%,6305/6302 текстиль,0.4
"Мини-холодильник 4л (резерв, WEEE)",44.99,B0—AstroAI/Citybee,44.99,37.81,7.18,6.75,4.6,0.8,5.4,0.9,15.5,17.5,1.86,4.1,11.0,5.8,41.61,108,200,2.2%,8418.69 (2.2%),2.2
